,Alan,99,,Liew,73,,,,,,,,,,,,,,,,,,
,,,55,41,86,117,57,39,,,,,,,,,,,,,,,
No,Name ,Sale,Wiper / Lth,Wiper Fluid,Tpms / Set,Valve / Set,Inflator,Tyre Repair Kit,Target 2K,Open Period,Dealer Type,Signboard,Area,State,Shop Full Address,Google Link,Whatsapp Link,Dealer Locator,Contact,WIX Contact,WIX,WIX IMG,
1,Chong Sheng Tyre Plus Service Centre,Liew,150,,,10,,,June 2025,June,Tyre Dealer ,Hankook,Semenyih,Selangor,"120f, Jalan Bandar Teknologi, Bandar Teknologi Kajang, Semenyih, Selangor 43500",https://share.google/UEIH2q6dcTy0fmJ4a,https://wa.me/60162631160,Y,60162631160,6016-2631 160,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
2,Chong Sheng Tyre & Auto Service Centre,Liew,,,,30,,,,June,Tyre Dealer ,Tayaria,Ampang,Selangor,"No. 38 A-G , Jalan Pandan Cahaya 2/2, Ampang 68000 Malaysia",https://share.google/HCwXVboPnkbY2bm2K,https://wa.me/60162631160,Y,60162631160,6016-2631 160,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
3,City HTC Sdn Bhd,Liew,,,,20,,,,June,Tyre Dealer ,Dunlop,Ampang,Selangor,"No 33, Jalan AWF3 Ampang Water Front, Ampang 68000 Malaysia",https://share.google/5vtzbOCHekMs3XN4w,https://wa.me/60182618488,Y,60182618488,6018-2618 488,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
4,Chong Sheng Tyre Plus Service Centre,Liew,,3,13,,,,Sept 2025,June,WorkShop,Castrol,Cheras,Selangor,"No.70, Jalan Temenggung 1/9, Seksyen 9, Bandar Mahkota Cheras, 43200 Malaysia",https://share.google/4xyRcbV0ivZqFDRtW,https://wa.me/60122862057,Y,60122862057,6012-2862 057,"[""TPMS"",""Windshield Fluid""]",wix:image://v1/7bdb27_16ce52cd92444e72bf4f10d8f502fa7e~mv2.png/TPMS_Fluid.png#originWidth=3160&originHeight=670,
5,Sen Chin Tyre Services Sdn Bhd,Liew,,,,40,,,,June,Tyre Dealer ,Michelin,Petaling Jaya,Selangor,"19B, Jalan 21/11b, Sea Park, Petaling Jaya 46300 Malaysia",https://share.google/niYRxnlq25oZN1gA9,https://wa.me/60176860827,Y,60176860827,6017-6860 827,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
6,SKL Tyre Auto Service Sdn Bhd,Liew,180,2,,,,,June 2025,June,Tyre Dealer ,Continental,Seri Kembangan,Selangor,"No:224,Jalan SK 6/1, Seri Kembangan 43300 Malaysia",https://share.google/TGclbhilkp5kaj31t,https://wa.me/60123832978,Y,60123832978,6012-3832 978,"[""Wiper"",""Windshield Fluid""]",wix:image://v1/7bdb27_05272b9d3809453486611a3514e423fd~mv2.png/Wiper_Fluid.png#originWidth=3160&originHeight=670,
7,KC Lee Auto Services Sdn Bhd,Liew,290,,2,10,10,,June 2025,June,MEC,MEC,Seri Kembangan,Selangor,"2, Jalan Perusahaan 3, Seri Kembangan 43300 Malaysia",https://share.google/ZIiprX0XvlWUO1jeN,https://wa.me/60163385677,Y,60163385677,6016-3385 677,"[""Wiper"",""Valve"",""TPMS"",""Inflator""]",wix:image://v1/7bdb27_d1f473556a5f474595368a571cdd0475~mv2.png/Wiper_Valve_TPMS_Inflator.png#originWidth=3160&originHeight=670,
